eurostat_country_code,Agreena_crop_IDENTIFIER,yield_avg
AU,APPLE,15.9499875
AU,BARLEY,14.438515625
AU,BARLEY-SPRING-GRAIN-HARVEST,4.455902777777778
AU,BARLEY-WINTER-FORAGE-HARVEST,14.438515625
AU,BARLEY-WINTER-GRAIN-HARVEST,4.838125
AU,BEAN-DRY-FORAGE-HARVEST,7.602265625
AU,BEAN-FAVA-FORAGE-HARVEST,7.602265625
AU,BEAN-FAVA-SEED-HARVEST,1.606125
AU,BEAN-FAVA-WINTER-FORAGE-HARVEST,7.602265625
AU,BEAN-FAVA-WINTER-SEED-HARVEST,1.606125
AU,BEAN-MUNG-FORAGE-HARVEST,7.602265625
AU,BEAN-MUNG-SEED-HARVEST,1.2947625
AU,BEET-FODDER-ROOT-HARVEST,39.4956625
AU,BEETROOT-ROOT-HARVEST,39.4956625
AU,BLUEBERRY,3.69945
AU,BORAGE-SEED-HARVEST,0.5088125
AU,CANOLA-SPRING,3.277045454545454
AU,CANOLA-WINTER,3.10515625
AU,CARROT-ROOT-HARVEST,55.38875
AU,CARROT-SEED-HARVEST,1.158975
AU,CLOVER-BERSEEM-FORAGE-HARVEST,7.602265625
AU,CLOVER-CRIMSON-FORAGE-HARVEST,7.602265625
AU,CLOVER-RED-FORAGE-HARVEST,7.602265625
AU,CLOVER-WHITE-FORAGE-HARVEST,7.602265625
AU,COTTON,1.335
AU,COTTON-SEED-HARVEST,5.296875
AU,DRY-BEAN,1.2947625
AU,FLAX,5.216818181818182
AU,FLAX-LINSEED-SEED-HARVEST,5.216818181818182
AU,GRASS-CLOVER-MIX,7.602265625
AU,GRASS-CLOVER-MIX-FORAGE-HARVEST,7.602265625
AU,GRAZING-FIELD,9.01845588235294
AU,HEMP,4.410694444444444
AU,HEMP-BIOMASS-HARVEST,3.3094625
AU,HEMP-FIBER-HARVEST,3.3094625
AU,HEMP-SEED-HARVEST,4.410694444444444
AU,HORSEBEANS,1.2947625
AU,LENTIL-FORAGE-HARVEST,7.602265625
AU,LENTIL-SEED-HARVEST,1.31
AU,LUPINE-FORAGE-HARVEST,7.602265625
AU,LUPINE-SEED-HARVEST,1.3584875
AU,MAIZE,11.7813125
AU,MAIZE-CORN,7.04505
AU,MILLET,1.0214125
AU,MILLET-FORAGE-HARVEST,14.438515625
AU,MUSTARD,14.526925
AU,MUSTARD-SEED-HARVEST,14.526925
AU,OAT-BLACK-FORAGE-HARVEST,14.438515625
AU,OAT-BLACK-GRAIN-HARVEST,1.5915625
AU,OAT-SPRING-GRAIN-HARVEST,1.5915625
AU,OAT-WINTER-FORAGE-HARVEST,14.438515625
AU,OAT-WINTER-GRAIN-HARVEST,1.5915625
AU,OATS,14.438515625
AU,ONION,54.1982
AU,OTHER-GRAIN,2.1147625
AU,OTHER-N-FIXING-FORAGE,7.602265625
AU,OTHER-NON-N-FIXING-FORAGE,14.438515625
AU,OTHER-ROOT-CROPS,39.4956625
AU,OTHER-TUBER-CROP,39.4956625
AU,PEA-COW-FORAGE-HARVEST,7.602265625
AU,PEA-COW-SEED-HARVEST,18.5647375
AU,PEA-SPRING-FORAGE-HARVEST,7.602265625
AU,PEA-SPRING-SEED-HARVEST,1.188375
AU,PEA-WINTER-FORAGE-HARVEST,7.602265625
AU,PEA-WINTER-SEED-HARVEST,1.188375
AU,PEANUT,2.965375
AU,PEAS,1.188375
AU,PEAS-CHICK-SEED-HARVEST,1.2160875
AU,PERENNIAL-GRASS,9.01845588235294
AU,PLAIN-GRASS,9.01845588235294
AU,POTATO,39.52685
AU,RAPE,3.10515625
AU,RAPESEED,3.10515625
AU,RAPESEED-SPRING-SEED-HARVEST,3.277045454545454
AU,RASPBERRY,2.7399625
AU,RICE,9.9090625
AU,RYE,0.7093625
AU,RYE-SPRING-FORAGE-HARVEST,14.438515625
AU,RYE-SPRING-GRAIN-HARVEST,0.7093625
AU,RYE-WINTER-FORAGE-HARVEST,14.438515625
AU,SAINFOIN-FORAGE-HARVEST,7.602265625
AU,SORGHUM,2.650775
AU,SORGHUM-FORAGE-HARVEST,14.438515625
AU,SOYBEAN,1.4942625
AU,SOYBEAN-FORAGE-HARVEST,7.602265625
AU,SPINACH-LEAF-HARVEST,6.570725
AU,SPRING-WHEAT,7.0296875
AU,STRAWBERRY,22.66095
AU,SUNFLOWER,1.0781125
AU,SUNFLOWER-SEED-HARVEST,1.0781125
AU,TOMATO,72.66024999999999
AU,TRITICALE,1.6267875
AU,TRITICALE-SPRING-FORAGE-HARVEST,14.438515625
AU,TRITICALE-SPRING-SEED-HARVEST,1.6267875
AU,TRITICALE-WINTER-FORAGE-HARVEST,14.438515625
AU,VEGETABLE,25.439225
AU,VETCH-FORAGE-HARVEST,7.602265625
AU,VETCH-SEED-HARVEST,0.21155
AU,WHEAT,5.234868421052632
AU,WHEAT-SPELT-GRAIN-HARVEST,5.234868421052632
AU,WHEAT-SPRING-FORAGE-HARVEST,14.438515625
AU,WHEAT-SPRING-GRAIN-HARVEST,7.0296875
AU,WHEAT-WINTER-FORAGE-HARVEST,14.438515625
AU,WINTER-BARLEY,4.838125
AU,WINTER-WHEAT,5.234868421052632
AT,ALFALFA,15.5625
AT,APPLE,35.078125
AT,BARLEY,13.88875
AT,BARLEY-SPRING-GRAIN-HARVEST,4.43375
AT,BARLEY-WINTER-FORAGE-HARVEST,13.88875
AT,BARLEY-WINTER-GRAIN-HARVEST,6.46125
AT,BEAN-DRY-FORAGE-HARVEST,17.8875
AT,BEAN-FAVA-FORAGE-HARVEST,17.8875
AT,BEAN-FAVA-SEED-HARVEST,2.4123875
AT,BEAN-FAVA-WINTER-FORAGE-HARVEST,17.8875
AT,BEAN-FAVA-WINTER-SEED-HARVEST,2.4123875
AT,BEAN-MUNG-FORAGE-HARVEST,17.8875
AT,BEAN-MUNG-SEED-HARVEST,2.3875
AT,BEET-FODDER-ROOT-HARVEST,32.1708
AT,BEET-SUGAR-ROOT-HARVEST,73.6125
AT,BEETROOT-ROOT-HARVEST,32.1708
AT,BLUEBERRY,8.0265375
AT,BORAGE-SEED-HARVEST,0.735
AT,BUCKWHEAT,2.90125
AT,BUCKWHEAT-SEED-HARVEST,2.90125
AT,CANOLA-SPRING,1.695
AT,CANOLA-WINTER,3.1075
AT,CARROT-ROOT-HARVEST,55.54785
AT,CLOVER-BERSEEM-FORAGE-HARVEST,17.8875
AT,CLOVER-CRIMSON-FORAGE-HARVEST,17.8875
AT,CLOVER-RED-FORAGE-HARVEST,17.8875
AT,CLOVER-WHITE-FORAGE-HARVEST,17.8875
AT,COTTON-SEED-HARVEST,0.54125
AT,DRY-BEAN,2.3875
AT,FLAX,1.2175
AT,FLAX-LINSEED-SEED-HARVEST,1.2175
AT,GRASS-CLOVER-MIX,17.8875
AT,GRASS-CLOVER-MIX-FORAGE-HARVEST,17.8875
AT,GRAZING-FIELD,16.975
AT,HEMP,4.1625
AT,HEMP-BIOMASS-HARVEST,4.1676125
AT,HEMP-FIBER-HARVEST,4.1676125
AT,HEMP-SEED-HARVEST,4.1625
AT,HORSEBEANS,2.3875
AT,LENTIL-FORAGE-HARVEST,17.8875
AT,LUPINE-FORAGE-HARVEST,17.8875
AT,LUPINE-SEED-HARVEST,1.64125
AT,MAIZE,42.2875
AT,MAIZE-CORN,10.30125
AT,MILLET,5.8651625
AT,MILLET-FORAGE-HARVEST,13.88875
AT,OAT-BLACK-FORAGE-HARVEST,13.88875
AT,OAT-BLACK-GRAIN-HARVEST,3.85125
AT,OAT-SPRING-GRAIN-HARVEST,3.85125
AT,OAT-WINTER-FORAGE-HARVEST,13.88875
AT,OAT-WINTER-GRAIN-HARVEST,3.85125
AT,OATS,13.88875
AT,ONION,47.086175
AT,OTHER-GRAIN,3.16125
AT,OTHER-LEGUME,2.0725
AT,OTHER-N-FIXING-FORAGE,17.8875
AT,OTHER-NON-N-FIXING-FORAGE,13.88875
AT,OTHER-ROOT-CROPS,32.1708
AT,OTHER-TUBER-CROP,32.1708
AT,PEA-COW-FORAGE-HARVEST,17.8875
AT,PEA-SPRING-FORAGE-HARVEST,17.8875
AT,PEA-SPRING-SEED-HARVEST,2.39875
AT,PEA-WINTER-FORAGE-HARVEST,17.8875
AT,PEA-WINTER-SEED-HARVEST,2.39875
AT,PEAS,2.39875
AT,PERENNIAL-GRASS,16.975
AT,PLAIN-GRASS,16.975
AT,POTATO,31.75
AT,RAPE,3.1075
AT,RAPESEED,3.1075
AT,RAPESEED-SPRING-SEED-HARVEST,1.695
AT,RASPBERRY,5.8358625
AT,RYE,4.575
AT,RYE-SPRING-FORAGE-HARVEST,13.88875
AT,RYE-SPRING-GRAIN-HARVEST,4.575
AT,RYE-WINTER-FORAGE-HARVEST,13.88875
AT,SAINFOIN-FORAGE-HARVEST,17.8875
AT,SAINFOIN-SEED-HARVEST,2.0725
AT,SORGHUM,7.60875
AT,SORGHUM-FORAGE-HARVEST,13.88875
AT,SOYBEAN,2.9
AT,SOYBEAN-FORAGE-HARVEST,17.8875
AT,SPINACH-LEAF-HARVEST,20.1536125
AT,SPRING-WHEAT,4.26875
AT,STRAWBERRY,10.8547875
AT,SUGAR-BEETS,73.6125
AT,SUNFLOWER,2.67375
AT,SUNFLOWER-SEED-HARVEST,2.67375
AT,TOMATO,298.40165
AT,TRITICALE,5.4375
AT,TRITICALE-SPRING-FORAGE-HARVEST,13.88875
AT,TRITICALE-SPRING-SEED-HARVEST,5.4375
AT,TRITICALE-WINTER-FORAGE-HARVEST,13.88875
AT,VEGETABLE,36.407275
AT,VETCH-FORAGE-HARVEST,17.8875
AT,VETCH-SEED-HARVEST,2.334025
AT,WHEAT,5.62125
AT,WHEAT-SPELT-GRAIN-HARVEST,5.62125
AT,WHEAT-SPRING-FORAGE-HARVEST,13.88875
AT,WHEAT-SPRING-GRAIN-HARVEST,4.26875
AT,WHEAT-WINTER-FORAGE-HARVEST,13.88875
AT,WINTER-BARLEY,6.46125
AT,WINTER-WHEAT,5.62125
BE,APPLE,36.833525
BE,BARLEY-SPRING-GRAIN-HARVEST,5.0475
BE,BARLEY-WINTER-GRAIN-HARVEST,8.185
BE,BEAN-FAVA-SEED-HARVEST,4.24515
BE,BEAN-FAVA-WINTER-SEED-HARVEST,4.24515
BE,BEAN-MUNG-SEED-HARVEST,4.1425
BE,BEET-FODDER-ROOT-HARVEST,42.9647625
BE,BEET-SUGAR-ROOT-HARVEST,84.875
BE,BEETROOT-ROOT-HARVEST,42.9647625
BE,BLUEBERRY,5.15
BE,BORAGE-SEED-HARVEST,1.0444875
BE,BUCKWHEAT,4.65375
BE,BUCKWHEAT-SEED-HARVEST,4.65375
BE,CANOLA-WINTER,3.79125
BE,CARROT-ROOT-HARVEST,60.0801625
BE,DRY-BEAN,4.1425
BE,HEMP-BIOMASS-HARVEST,5.357325
BE,HEMP-FIBER-HARVEST,5.357325
BE,HORSEBEANS,4.1425
BE,MAIZE,41.875
BE,MAIZE-CORN,8.46375
BE,OAT-BLACK-GRAIN-HARVEST,4.88875
BE,OAT-SPRING-GRAIN-HARVEST,4.88875
BE,OAT-WINTER-GRAIN-HARVEST,4.88875
BE,ONION,37.98625
BE,OTHER-GRAIN,8.5776875
BE,OTHER-LEGUME,3.955
BE,OTHER-ROOT-CROPS,42.9647625
BE,OTHER-TUBER-CROP,42.9647625
BE,PEA-SPRING-SEED-HARVEST,3.52125
BE,PEA-WINTER-SEED-HARVEST,3.52125
BE,PEAS,3.52125
BE,POTATO,40.875
BE,RAPE,3.79125
BE,RAPESEED,3.79125
BE,RASPBERRY,14.9778
BE,RYE,4.045
BE,RYE-SPRING-GRAIN-HARVEST,4.045
BE,SAINFOIN-SEED-HARVEST,3.955
BE,SPINACH-LEAF-HARVEST,21.0686
BE,SPRING-WHEAT,5.6125
BE,STRAWBERRY,25.730425
BE,SUGAR-BEETS,84.875
BE,TOMATO,486.6357875
BE,TRITICALE,6.2125
BE,TRITICALE-SPRING-SEED-HARVEST,6.2125
BE,VEGETABLE,32.565975
BE,WHEAT,8.5675
BE,WHEAT-SPELT-GRAIN-HARVEST,8.5675
BE,WHEAT-SPRING-GRAIN-HARVEST,5.6125
BE,WINTER-BARLEY,8.185
BE,WINTER-WHEAT,8.5675
BA,ALFALFA,4.077500000000001
BA,APPLE,3.1989125
BA,BARLEY,5.04375
BA,BARLEY-SPRING-GRAIN-HARVEST,3.99875
BA,BARLEY-WINTER-FORAGE-HARVEST,5.04375
BA,BARLEY-WINTER-GRAIN-HARVEST,3.6575
BA,BEAN-DRY-FORAGE-HARVEST,3.71625
BA,BEAN-FAVA-FORAGE-HARVEST,3.71625
BA,BEAN-FAVA-WINTER-FORAGE-HARVEST,3.71625
BA,BEAN-MUNG-FORAGE-HARVEST,3.71625
BA,BEAN-MUNG-SEED-HARVEST,5.68875
BA,BEET-FODDER-ROOT-HARVEST,10.5035375
BA,BEET-SUGAR-ROOT-HARVEST,19.3832625
BA,BEETROOT-ROOT-HARVEST,10.5035375
BA,BORAGE-SEED-HARVEST,0.5296625
BA,BUCKWHEAT,0.85625
BA,BUCKWHEAT-SEED-HARVEST,0.85625
BA,CANOLA-SPRING,2.159444444444444
BA,CANOLA-WINTER,2.1575
BA,CARROT-ROOT-HARVEST,8.792
BA,CARROT-SEED-HARVEST,1.077875
BA,CLOVER-BERSEEM-FORAGE-HARVEST,3.71625
BA,CLOVER-CRIMSON-FORAGE-HARVEST,3.71625
BA,CLOVER-RED-FORAGE-HARVEST,3.71625
BA,CLOVER-WHITE-FORAGE-HARVEST,3.71625
BA,COTTON-SEED-HARVEST,0.54125
BA,DRY-BEAN,5.68875
BA,FLAX,1.844375
BA,FLAX-LINSEED-SEED-HARVEST,1.844375
BA,GRASS-CLOVER-MIX,3.71625
BA,GRASS-CLOVER-MIX-FORAGE-HARVEST,3.71625
BA,GRAZING-FIELD,4.095
BA,HEMP,2.4821875
BA,HEMP-SEED-HARVEST,2.4821875
BA,HORSEBEANS,5.68875
BA,LENTIL-FORAGE-HARVEST,3.71625
BA,LUPINE-FORAGE-HARVEST,3.71625
BA,MAIZE,18.6
BA,MAIZE-CORN,5.38125
BA,MILLET-FORAGE-HARVEST,5.04375
BA,OAT-BLACK-FORAGE-HARVEST,5.04375
BA,OAT-BLACK-GRAIN-HARVEST,2.93625
BA,OAT-SPRING-GRAIN-HARVEST,2.93625
BA,OAT-WINTER-FORAGE-HARVEST,5.04375
BA,OAT-WINTER-GRAIN-HARVEST,2.93625
BA,OATS,5.04375
BA,ONION,7.8301625
BA,OTHER-GRAIN,4.7535875
BA,OTHER-LEGUME,1.3925
BA,OTHER-N-FIXING-FORAGE,3.71625
BA,OTHER-NON-N-FIXING-FORAGE,5.04375
BA,OTHER-ROOT-CROPS,10.5035375
BA,OTHER-TUBER-CROP,10.5035375
BA,PEA-COW-FORAGE-HARVEST,3.71625
BA,PEA-COW-SEED-HARVEST,1.0692875
BA,PEA-SPRING-FORAGE-HARVEST,3.71625
BA,PEA-SPRING-SEED-HARVEST,1.7625
BA,PEA-WINTER-FORAGE-HARVEST,3.71625
BA,PEA-WINTER-SEED-HARVEST,1.7625
BA,PEAS,1.7625
BA,PEAS-CHICK-SEED-HARVEST,3.16285
BA,PERENNIAL-GRASS,4.095
BA,PLAIN-GRASS,4.095
BA,POTATO,10.5025
BA,RAPE,2.1575
BA,RAPESEED,2.1575
BA,RAPESEED-SPRING-SEED-HARVEST,2.159444444444444
BA,RASPBERRY,7.2934625
BA,RYE,2.97375
BA,RYE-SPRING-FORAGE-HARVEST,5.04375
BA,RYE-SPRING-GRAIN-HARVEST,2.97375
BA,RYE-WINTER-FORAGE-HARVEST,5.04375
BA,SAINFOIN-FORAGE-HARVEST,3.71625
BA,SAINFOIN-SEED-HARVEST,1.3925
BA,SORGHUM,2.8625
BA,SORGHUM-FORAGE-HARVEST,5.04375
BA,SOYBEAN,2.175
BA,SOYBEAN-FORAGE-HARVEST,3.71625
BA,SPRING-WHEAT,3.8825
BA,STRAWBERRY,7.7859875
BA,SUGAR-BEETS,19.3832625
BA,SUNFLOWER,1.735
BA,SUNFLOWER-SEED-HARVEST,1.735
BA,TOMATO,12.4541125
BA,TRITICALE,4.02625
BA,TRITICALE-SPRING-FORAGE-HARVEST,5.04375
BA,TRITICALE-SPRING-SEED-HARVEST,4.02625
BA,TRITICALE-WINTER-FORAGE-HARVEST,5.04375
BA,VEGETABLE,5.7313875
BA,VETCH-FORAGE-HARVEST,3.71625
BA,VETCH-SEED-HARVEST,4.119475
BA,WHEAT,4.2125
BA,WHEAT-SPELT-GRAIN-HARVEST,4.2125
BA,WHEAT-SPRING-FORAGE-HARVEST,5.04375
BA,WHEAT-SPRING-GRAIN-HARVEST,3.8825
BA,WHEAT-WINTER-FORAGE-HARVEST,5.04375
BA,WINTER-BARLEY,3.6575
BA,WINTER-WHEAT,4.2125
BG,ALFALFA,10.95
BG,APPLE,11.7136625
BG,BARLEY,12.4625
BG,BARLEY-SPRING-GRAIN-HARVEST,2.99125
BG,BARLEY-WINTER-FORAGE-HARVEST,12.4625
BG,BARLEY-WINTER-GRAIN-HARVEST,4.73
BG,BEAN-DRY-FORAGE-HARVEST,7.25
BG,BEAN-FAVA-FORAGE-HARVEST,7.25
BG,BEAN-FAVA-SEED-HARVEST,2.0101875
BG,BEAN-FAVA-WINTER-FORAGE-HARVEST,7.25
BG,BEAN-FAVA-WINTER-SEED-HARVEST,2.0101875
BG,BEAN-MUNG-FORAGE-HARVEST,7.25
BG,BEAN-MUNG-SEED-HARVEST,1.2625
BG,BEET-FODDER-ROOT-HARVEST,17.2537
BG,BEET-SUGAR-ROOT-HARVEST,37.6
BG,BEETROOT-ROOT-HARVEST,17.2537
BG,BLUEBERRY,5.0965375
BG,BORAGE-SEED-HARVEST,0.71125
BG,BUCKWHEAT,1.75125
BG,BUCKWHEAT-SEED-HARVEST,1.75125
BG,CANOLA-SPRING,3.24
BG,CANOLA-WINTER,2.67375
BG,CARROT-ROOT-HARVEST,20.1924375
BG,CARROT-SEED-HARVEST,1.111975
BG,CLOVER-BERSEEM-FORAGE-HARVEST,7.25
BG,CLOVER-CRIMSON-FORAGE-HARVEST,7.25
BG,CLOVER-RED-FORAGE-HARVEST,7.25
BG,CLOVER-WHITE-FORAGE-HARVEST,7.25
BG,COTTON,0.78625
BG,COTTON-SEED-HARVEST,1.19875
BG,DRY-BEAN,1.2625
BG,FLAX,1.12125
BG,FLAX-LINSEED-SEED-HARVEST,1.12125
BG,GRASS-CLOVER-MIX,7.25
BG,GRASS-CLOVER-MIX-FORAGE-HARVEST,7.25
BG,GRAZING-FIELD,7.13
BG,HEMP,1.92625
BG,HEMP-BIOMASS-HARVEST,1.46815
BG,HEMP-FIBER-HARVEST,1.46815
BG,HEMP-SEED-HARVEST,1.92625
BG,HORSEBEANS,1.2625
BG,LENTIL-FORAGE-HARVEST,7.25
BG,LENTIL-SEED-HARVEST,1.7815125
BG,LUPINE-FORAGE-HARVEST,7.25
BG,LUPINE-SEED-HARVEST,1.8325
BG,MAIZE,20.95
BG,MAIZE-CORN,6.1025
BG,MILLET,1.857575
BG,MILLET-FORAGE-HARVEST,12.4625
BG,MUSTARD,0.550925
BG,MUSTARD-SEED-HARVEST,0.550925
BG,OAT-BLACK-FORAGE-HARVEST,12.4625
BG,OAT-BLACK-GRAIN-HARVEST,2.32875
BG,OAT-SPRING-GRAIN-HARVEST,2.32875
BG,OAT-WINTER-FORAGE-HARVEST,12.4625
BG,OAT-WINTER-GRAIN-HARVEST,2.32875
BG,OATS,12.4625
BG,ONION,11.1645
BG,OTHER-GRAIN,19.9
BG,OTHER-LEGUME,1.40125
BG,OTHER-N-FIXING-FORAGE,7.25
BG,OTHER-NON-N-FIXING-FORAGE,12.4625
BG,OTHER-ROOT-CROPS,17.2537
BG,OTHER-TUBER-CROP,17.2537
BG,PEA-COW-FORAGE-HARVEST,7.25
BG,PEA-SPRING-FORAGE-HARVEST,7.25
BG,PEA-SPRING-SEED-HARVEST,2.28625
BG,PEA-WINTER-FORAGE-HARVEST,7.25
BG,PEA-WINTER-SEED-HARVEST,2.28625
BG,PEANUT,1.85315
BG,PEAS,2.28625
BG,PEAS-CHICK-SEED-HARVEST,1.6055625
BG,PERENNIAL-GRASS,7.13
BG,PLAIN-GRASS,7.13
BG,POTATO,17.8375
BG,RAPE,2.67375
BG,RAPESEED,2.67375
BG,RAPESEED-SPRING-SEED-HARVEST,3.24
BG,RASPBERRY,3.8142625
BG,RICE,5.4725
BG,RYE,1.98375
BG,RYE-SPRING-FORAGE-HARVEST,12.4625
BG,RYE-SPRING-GRAIN-HARVEST,1.98375
BG,RYE-WINTER-FORAGE-HARVEST,12.4625
BG,SAINFOIN-FORAGE-HARVEST,7.25
BG,SAINFOIN-SEED-HARVEST,1.40125
BG,SORGHUM,3.10625
BG,SORGHUM-FORAGE-HARVEST,12.4625
BG,SOYBEAN,1.5975
BG,SOYBEAN-FORAGE-HARVEST,7.25
BG,SPINACH-LEAF-HARVEST,7.6152375
BG,SPRING-WHEAT,4.00125
BG,STRAWBERRY,6.86275
BG,SUGAR-BEETS,37.6
BG,SUNFLOWER,2.2875
BG,SUNFLOWER-SEED-HARVEST,2.2875
BG,TOMATO,36.088525
BG,TRITICALE,3.0975
BG,TRITICALE-SPRING-FORAGE-HARVEST,12.4625
BG,TRITICALE-SPRING-SEED-HARVEST,3.0975
BG,TRITICALE-WINTER-FORAGE-HARVEST,12.4625
BG,VEGETABLE,19.4764125
BG,VETCH-FORAGE-HARVEST,7.25
BG,VETCH-SEED-HARVEST,2.5969875
BG,WHEAT,5.09
BG,WHEAT-SPELT-GRAIN-HARVEST,5.09
BG,WHEAT-SPRING-FORAGE-HARVEST,12.4625
BG,WHEAT-SPRING-GRAIN-HARVEST,4.00125
BG,WHEAT-WINTER-FORAGE-HARVEST,12.4625
BG,WINTER-BARLEY,4.73
BG,WINTER-WHEAT,5.09
CN,ALFALFA,12.59734375
CN,APPLE,19.9103625
CN,BARLEY,14.438515625
CN,BARLEY-SPRING-GRAIN-HARVEST,4.455902777777778
CN,BARLEY-WINTER-FORAGE-HARVEST,14.438515625
CN,BARLEY-WINTER-GRAIN-HARVEST,4.838125
CN,BEAN-DRY-FORAGE-HARVEST,7.602265625
CN,BEAN-FAVA-FORAGE-HARVEST,7.602265625
CN,BEAN-FAVA-SEED-HARVEST,2.059875
CN,BEAN-FAVA-WINTER-FORAGE-HARVEST,7.602265625
CN,BEAN-FAVA-WINTER-SEED-HARVEST,2.059875
CN,BEAN-MUNG-FORAGE-HARVEST,7.602265625
CN,BEAN-MUNG-SEED-HARVEST,1.7224125
CN,BEET-FODDER-ROOT-HARVEST,19.379025
CN,BEET-SUGAR-ROOT-HARVEST,52.3465875
CN,BEETROOT-ROOT-HARVEST,19.379025
CN,BORAGE-SEED-HARVEST,0.665825
CN,BUCKWHEAT,0.8050375
CN,BUCKWHEAT-SEED-HARVEST,0.8050375
CN,CANOLA-SPRING,3.277045454545454
CN,CANOLA-WINTER,3.10515625
CN,CARROT-ROOT-HARVEST,44.6626625
CN,CARROT-SEED-HARVEST,1.2736875
CN,CLOVER-BERSEEM-FORAGE-HARVEST,7.602265625
CN,CLOVER-CRIMSON-FORAGE-HARVEST,7.602265625
CN,CLOVER-RED-FORAGE-HARVEST,7.602265625
CN,CLOVER-WHITE-FORAGE-HARVEST,7.602265625
CN,COFFEE,2.9651125
CN,COTTON,1.335
CN,COTTON-SEED-HARVEST,5.296875
CN,DRY-BEAN,1.7224125
CN,FLAX,5.216818181818182
CN,FLAX-LINSEED-SEED-HARVEST,5.216818181818182
CN,GRASS-CLOVER-MIX,7.602265625
CN,GRASS-CLOVER-MIX-FORAGE-HARVEST,7.602265625
CN,GRAZING-FIELD,9.01845588235294
CN,HEMP,4.410694444444444
CN,HEMP-BIOMASS-HARVEST,3.1648
CN,HEMP-FIBER-HARVEST,3.1648
CN,HEMP-SEED-HARVEST,4.410694444444444
CN,HORSEBEANS,1.7224125
CN,LENTIL-FORAGE-HARVEST,7.602265625
CN,LENTIL-SEED-HARVEST,2.4307
CN,LUPINE-FORAGE-HARVEST,7.602265625
CN,MAIZE,9.46405
CN,MAIZE-CORN,6.1011875
CN,MILLET,2.81615
CN,MILLET-FORAGE-HARVEST,14.438515625
CN,MUSTARD,0.785875
CN,MUSTARD-SEED-HARVEST,0.785875
CN,OAT-BLACK-FORAGE-HARVEST,14.438515625
CN,OAT-BLACK-GRAIN-HARVEST,3.4383
CN,OAT-SPRING-GRAIN-HARVEST,3.4383
