Agreena_crop_IDENTIFIER;coolfarm_name
COFFEE;COFFEE
COTTON;COTTON
FLAX;OATS-1
FLAX-LINSEED-SEED-HARVEST;OATS-1
GRASS-CLOVER-MIX;GRASS-CLOVER MIX
GRASS-CLOVER-MIX-FORAGE-HARVEST;GRASS-CLOVER-MIX-1
SEED-GRASS;GRASS-2
PERENNIAL-GRASS;PERENNIAL GRASS
GRASS-ITALIAN-RYE-SEED-HARVEST;GRASS-4
GRASS-MEADOW-FESCUE-SEED-HARVEST;GRASS-4
PLAIN-GRASS;GRASS-3
GRASS-RED-FESCUE-SEED-HARVEST;PERENNIAL GRASS
GRASS-ROUGH-BLUE-SEED-HARVEST;PERENNIAL GRASS
FEED-GRASS;GRASS-1
GRASS-TALL-FESCUE-SEED-HARVEST;PERENNIAL GRASS
GRAZING-FIELD;PERENNIAL GRASS
HEMP;RAPESEED
HEMP-BIOMASS-HARVEST;RAPESEED-1
HEMP-FIBER-HARVEST;RAPESEED
HEMP-SEED-HARVEST;RAPESEED
HORSEBEANS;DRY BEAN
LENTIL-FORAGE-HARVEST;DRY BEAN
LENTIL-SEED-HARVEST;DRY BEAN
LUPINE-FORAGE-HARVEST;DRY BEAN
LUPINE-SEED-HARVEST;DRY BEAN
MAIZE;MAIZE-1
MAIZE-CORN;MAIZE
MILLET;MILLET
MILLET-FORAGE-HARVEST;MILLET
MISCANTHUS;GRASS-1
MUSTARD;OTHER-NON-N-FIXING-FORAGE-1
MUSTARD-SEED-HARVEST;OTHER-NON-N-FIXING-FORAGE-2
OAT-BLACK-FORAGE-HARVEST;OATS-2
OAT-BLACK-GRAIN-HARVEST;OATS
OATS;OATS-2
OAT-SPRING-GRAIN-HARVEST;OATS
OAT-WINTER-FORAGE-HARVEST;OATS-2
OAT-WINTER-GRAIN-HARVEST;OATS
ONION;VEGETABLE
ONION-SEED-HARVEST;VEGETABLE
OTHER;OTHER
OTHER-GRAIN;OTHER GRAIN
OTHER-LEGUME;OTHER LEGUME
OTHER-N-FIXING-FORAGE;OTHER N-FIXING FORAGE
OTHER-NON-N-FIXING-FORAGE;OTHER NON-N-FIXING FORAGE
OTHER-ROOT-CROPS;OTHER ROOT CROPS
OTHER-TUBER-CROP;OTHER TUBER CROP
PEAS-CHICK-SEED-HARVEST;DRY BEAN
PEA-COW-FORAGE-HARVEST;DRY BEAN
PEA-COW-SEED-HARVEST;DRY BEAN
PEA-SPRING-FORAGE-HARVEST;DRY BEAN-1
PEA-SPRING-SEED-HARVEST;DRY BEAN
PEA-WINTER-FORAGE-HARVEST;DRY BEAN-1
PEA-WINTER-SEED-HARVEST;DRY BEAN
PEANUT;PEANUT
PEAS;DRY BEAN
PERENNIAL-GRASS;PERENNIAL GRASS
PHACELIA-SEED-HARVEST;OATS
PLAIN-GRASS;GRASS-3
POTATO;OTHER TUBER CROP
QUINOA;OTHER GRAIN
QUINOA-SEED-HARVEST;OTHER GRAIN
RAPE;RAPESEED
RAPESEED-SPRING-SEED-HARVEST;RAPESEED
RAPESEED;RAPESEED
RASPBERRY;RASPBERRY
RICE;RICE
RYE-SPRING-FORAGE-HARVEST;RYE
RYE-SPRING-GRAIN-HARVEST;RYE-2
RYE-WINTER-FORAGE-HARVEST;RYE
RYE;RYE
SAINFOIN-FORAGE-HARVEST;DRY BEAN-1
SAINFOIN-SEED-HARVEST;DRY BEAN
SORGHUM-FORAGE-HARVEST;SORGHUM-1
SORGHUM;SORGHUM
SOYBEAN-FORAGE-HARVEST;SOYBEAN-1
SOYBEAN;SOYBEAN
SPINACH-LEAF-HARVEST;VEGETABLE
SPINACH-SEED-HARVEST;OATS-1
STRAWBERRY;STRAWBERRY
SUGAR-BEETS;OTHER TUBER CROP
SUNFLOWER;RAPESEED
SUNFLOWER-SEED-HARVEST;RAPESEED
TEA;TEA
TOMATO;TOMATO
TREE-CROP;TREE CROP
TRITICALE-SPRING-FORAGE-HARVEST;RYE
TRITICALE-SPRING-SEED-HARVEST;OTHER-GRAIN-1
TRITICALE-WINTER-FORAGE-HARVEST;RYE-1
TRITICALE;RYE
VEGETABLE;VEGETABLE
VETCH-FORAGE-HARVEST;CLOVER
VETCH-SEED-HARVEST;CLOVER-1
WHEAT;WINTER WHEAT
SPRING-WHEAT;SPRING WHEAT
WHEAT-SPELT-GRAIN-HARVEST;SPRING WHEAT
WHEAT-SPRING-FORAGE-HARVEST;SPRING WHEAT-1
WHEAT-SPRING-GRAIN-HARVEST;SPRING WHEAT
WHEAT-WINTER-FORAGE-HARVEST;WINTER WHEAT
WINTER-WHEAT;WINTER WHEAT-2
WINTER-BARLEY;BARLEY
